序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
1438,,3B汽泵转速/盘车,N3DCS.ABFWBPTRIPSTEP27,1,(CDATA['N3DCS.3FPTWS1A']<100 and CDATA['N3DCS.3ZAFW15ADI']==1) or CDATA['N3DCS.3FPTWS1A']>100,盘车,CDATA['N3DCS.3ZAFW15ADI'],,CDATA['N3DCS.3ABFPTTRIP1']==0 and CDATA['N3DCS.3BBFPTTRIP1']==0,,,,1
1439,,A引风机联跳,N3DCS.AFDFTRIPSTEP1,1,CDATA['N3DCS.3ZABA05FADI']==0,A引风机联跳,CDATA['N3DCS.3ZABA05FADI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1440,,点油枪,N3DCS.AFDFTRIPSTEP2,1,(CDATA['N3DCS.3ZACH11CPDI']*(CDATA['N3DCS.3BIBY626DI']+CDATA['N3DCS.3BIBY628DI']+CDATA['N3DCS.3BIBY630DI']+CDATA['N3DCS.3BIBY632DI']+ CDATA['N3DCS.3BIBY634DI']+CDATA['N3DCS.3BIBY636DI'])+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'])>=(CDATA['N3DCS.3ZACH11CPDI']+CDATA['N3DCS.3ZACH12CPDI']+CDATA['N3DCS.3ZACH13CPDI']+CDATA['N3DCS.3ZACH14CPDI'])*6,有效火检,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1441,,保留斜对角磨煤机,N3DCS.AFDFTRIPSTEP3,1,(CDATA['N3DCS.3ZACH11CPDI']==1 and CDATA['N3DCS.3ZACH13CPDI']==1 and CDATA['N3DCS.3ZACH12CPDI']==0 and CDATA['N3DCS.3ZACH14CPDI']==0) or (CDATA['N3DCS.3ZACH11CPDI']==0 and CDATA['N3DCS.3ZACH13CPDI']==0 and CDATA['N3DCS.3ZACH12CPDI']==1 and CDATA['N3DCS.3ZACH14CPDI']==1),磨煤机,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1442,,A一次风机跳闸,N3DCS.AFDFTRIPSTEP4,1,CDATA['N3DCS.3ZABA03FDI']==0,停止A一次风机,CDATA['N3DCS.3ZABA03FDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1443,,A空预器运行,N3DCS.AFDFTRIPSTEP5,1,CDATA['N3DCS.3ZABA07AHDI']==1,确认A空预器运行,CDATA['N3DCS.3ZABA07AHDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1444,,燃料主控<53,N3DCS.AFDFTRIPSTEP6,1,CDATA['N3DCS.3CCSFUELMDMD']<=53,燃料主控,CDATA['N3DCS.3CCSFUELMDMD'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1445,,降低负荷,N3DCS.AFDFTRIPSTEP7,1,CDATA['N3DCS.LDCDEMD2']<175,降低负荷至,CDATA['N3DCS.LDCDEMD2'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1446,,SCR入口烟气温度,N3DCS.AFDFTRIPSTEP8,1,CDATA['N3DCS.31HSA30CT101']>300 and CDATA['N3DCS.32HSA30CT101']>300,SCR温度正常,CDATA['N3DCS.32HSA30CT101'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1447,,B送风机电流<113A,N3DCS.AFDFTRIPSTEP9,1,CDATA['N3DCS.3ITAP056AI']<113,B送风机电流,CDATA['N3DCS.3ITAP056AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1448,,B引风机电流<330A,N3DCS.AFDFTRIPSTEP10,1,CDATA['N3DCS.3ITAP060AI']<330,B引风机电流,CDATA['N3DCS.3ITAP060AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1449,,B一次风机电流<95A,N3DCS.AFDFTRIPSTEP11,1,CDATA['N3DCS.3ITAP050AI']<95,B一次风机电流,CDATA['N3DCS.3ITAP050AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1450,,炉膛负压<0.5kPa,N3DCS.AFDFTRIPSTEP12,1,CDATA['N3DCS.3PTBA221S']<0.5 and CDATA['N3DCS.3PTBA221S']>-1.5,炉膛负压,CDATA['N3DCS.3PTBA221S'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1451,,汽包水位<150,N3DCS.AFDFTRIPSTEP13,1,CDATA['N3DCS.3LTFW505CAI']<150 and CDATA['N3DCS.3LTFW505CAI']>-200,汽包水位,CDATA['N3DCS.3LTFW505CAI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1452,,A送风机入口导叶开度<15,N3DCS.AFDFTRIPSTEP14,1,CDATA['N3DCS.3ZTBA021AI']<15,A送风机入口导叶开度,CDATA['N3DCS.3ZTBA021AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1453,,A送风机出口挡板关闭,N3DCS.AFDFTRIPSTEP15,1,CDATA['N3DCS.3ZCBA039DI']==1,A送风机出口挡板关闭,CDATA['N3DCS.3ZCBA039DI']-1,,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1454,,A引风机入口挡板关闭,N3DCS.AFDFTRIPSTEP16,1,CDATA['N3DCS.3ZTBA305AI']<15,引风机入口挡板关闭,CDATA['N3DCS.3ZTBA305AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1455,,A引风机出口挡板关闭,N3DCS.AFDFTRIPSTEP17,1,CDATA['N3DCS.3ZCBA307DI']==1,A引风机出口挡板关闭,CDATA['N3DCS.3ZCBA307DI']-1,,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1456,,RB动作触发,N3DCS.AFDFTRIPSTEP18,1,CDATA['N3DCS.3CCSBFPRB']==1,RB动作触发,CDATA['N3DCS.3CCSBFPRB'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==0 and CDATA['N3DCS.3ZABA02FDI'] ==1,,,,1
1457,,B引风机联跳,N3DCS.BFDFTRIPSTEP1,1,CDATA['N3DCS.3ZABA06FADI']==0,B引风机联跳,CDATA['N3DCS.3ZABA06FADI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1458,,点油枪,N3DCS.BFDFTRIPSTEP2,1,(CDATA['N3DCS.3ZACH11CPDI']*(CDATA['N3DCS.3BIBY626DI']+CDATA['N3DCS.3BIBY628DI']+CDATA['N3DCS.3BIBY630DI']+CDATA['N3DCS.3BIBY632DI']+ CDATA['N3DCS.3BIBY634DI']+CDATA['N3DCS.3BIBY636DI'])+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'])>=(CDATA['N3DCS.3ZACH11CPDI']+CDATA['N3DCS.3ZACH12CPDI']+CDATA['N3DCS.3ZACH13CPDI']+CDATA['N3DCS.3ZACH14CPDI'])*6,有效火检,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1459,,保留斜对角磨煤机,N3DCS.BFDFTRIPSTEP3,1,(CDATA['N3DCS.3ZACH11CPDI']==1 and CDATA['N3DCS.3ZACH13CPDI']==1 and CDATA['N3DCS.3ZACH12CPDI']==0 and CDATA['N3DCS.3ZACH14CPDI']==0) or (CDATA['N3DCS.3ZACH11CPDI']==0 and CDATA['N3DCS.3ZACH13CPDI']==0 and CDATA['N3DCS.3ZACH12CPDI']==1 and CDATA['N3DCS.3ZACH14CPDI']==1),磨煤机,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1460,,B一次风机跳闸,N3DCS.BFDFTRIPSTEP4,1,CDATA['N3DCS.3ZABA04FDI']==0,停止B一次风机,CDATA['N3DCS.3ZABA04FDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1461,,B空预器运行,N3DCS.BFDFTRIPSTEP5,1,CDATA['N3DCS.3ZABA08AHDI']==1,确认B空预器运行,CDATA['N3DCS.3ZABA08AHDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1462,,燃料主控<53,N3DCS.BFDFTRIPSTEP6,1,CDATA['N3DCS.3CCSFUELMDMD']<=53,燃料主控,CDATA['N3DCS.3CCSFUELMDMD'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1463,,降低负荷,N3DCS.BFDFTRIPSTEP7,1,CDATA['N3DCS.LDCDEMD2']<175,降低负荷至,CDATA['N3DCS.LDCDEMD2'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1464,,SCR入口烟气温度,N3DCS.BFDFTRIPSTEP8,1,CDATA['N3DCS.31HSA30CT101']>300 and CDATA['N3DCS.32HSA30CT101']>300,SCR温度正常,CDATA['N3DCS.31HSA30CT101'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1465,,A送风机电流<113A,N3DCS.BFDFTRIPSTEP9,1,CDATA['N3DCS.3ITAP055AI']<113,A送风机电流,CDATA['N3DCS.3ITAP055AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1466,,A引风机电流<330A,N3DCS.BFDFTRIPSTEP10,1,CDATA['N3DCS.3ITAP059AI']<330,A引风机电流,CDATA['N3DCS.3ITAP059AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1467,,A一次风机电流<95A,N3DCS.BFDFTRIPSTEP11,1,CDATA['N3DCS.3ITAP049AI']<95,A一次风机电流,CDATA['N3DCS.3ITAP049AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1468,,炉膛负压<0.5kPa,N3DCS.BFDFTRIPSTEP12,1,CDATA['N3DCS.3PTBA221S']<0.5 and CDATA['N3DCS.3PTBA221S']>-1.5,炉膛负压,CDATA['N3DCS.3PTBA221S'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1469,,汽包水位<150,N3DCS.BFDFTRIPSTEP13,1,CDATA['N3DCS.3LTFW505CAI']<150 and CDATA['N3DCS.3LTFW505CAI']>-200,汽包水位,CDATA['N3DCS.3LTFW505CAI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1470,,B送风机入口导叶开度<15,N3DCS.BFDFTRIPSTEP14,1,CDATA['N3DCS.3ZTBA022AI']<15,B送风机入口导叶开度,CDATA['N3DCS.3ZTBA022AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1471,,B送风机出口挡板关闭,N3DCS.BFDFTRIPSTEP15,1,CDATA['N3DCS.3ZCBA040DI']==1,B送风机出口挡板关闭,CDATA['N3DCS.3ZCBA040DI']-1,,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1472,,B引风机入口挡板关闭,N3DCS.BFDFTRIPSTEP16,1,CDATA['N3DCS.3ZTBA306AI']<15,B引风机入口挡板关闭,CDATA['N3DCS.3ZTBA306AI']<15,,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1473,,B引风机出口挡板关闭,N3DCS.BFDFTRIPSTEP17,1,CDATA['N3DCS.3ZCBA308DI']==1,B引风机出口挡板关闭,CDATA['N3DCS.3ZCBA308DI']-1,,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1474,,RB动作触发,N3DCS.BFDFTRIPSTEP18,1,CDATA['N3DCS.3CCSBFPRB']==1,RB动作触发,CDATA['N3DCS.3CCSBFPRB'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA01FDI'] ==1 and CDATA['N3DCS.3ZABA02FDI'] ==0,,,,1
1475,,A送风机联跳,N3DCS.AINFTRIPSTEP1,1,CDATA['N3DCS.3ZABA01FDI']==0,A送风机联跳,CDATA['N3DCS.3ZABA01FDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1476,,点油枪,N3DCS.AINFTRIPSTEP2,1,(CDATA['N3DCS.3ZACH11CPDI']*(CDATA['N3DCS.3BIBY626DI']+CDATA['N3DCS.3BIBY628DI']+CDATA['N3DCS.3BIBY630DI']+CDATA['N3DCS.3BIBY632DI']+ CDATA['N3DCS.3BIBY634DI']+CDATA['N3DCS.3BIBY636DI'])+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'])>=(CDATA['N3DCS.3ZACH11CPDI']+CDATA['N3DCS.3ZACH12CPDI']+CDATA['N3DCS.3ZACH13CPDI']+CDATA['N3DCS.3ZACH14CPDI'])*6,有效火检,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1477,,保留斜对角磨煤机,N3DCS.AINFTRIPSTEP3,1,(CDATA['N3DCS.3ZACH11CPDI']==1 and CDATA['N3DCS.3ZACH13CPDI']==1 and CDATA['N3DCS.3ZACH12CPDI']==0 and CDATA['N3DCS.3ZACH14CPDI']==0) or (CDATA['N3DCS.3ZACH11CPDI']==0 and CDATA['N3DCS.3ZACH13CPDI']==0 and CDATA['N3DCS.3ZACH12CPDI']==1 and CDATA['N3DCS.3ZACH14CPDI']==1),磨煤机,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1478,,A一次风机跳闸,N3DCS.AINFTRIPSTEP4,1,CDATA['N3DCS.3ZABA03FDI']==0,停止A一次风机,CDATA['N3DCS.3ZABA03FDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1479,,A空预器运行,N3DCS.AINFTRIPSTEP5,1,CDATA['N3DCS.3ZABA07AHDI']==1,确认A空预器运行,CDATA['N3DCS.3ZABA07AHDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1480,,燃料主控<53,N3DCS.AINFTRIPSTEP6,1,CDATA['N3DCS.3CCSFUELMDMD']<=53,燃料主控,CDATA['N3DCS.3CCSFUELMDMD'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1481,,降低负荷,N3DCS.AINFTRIPSTEP7,1,CDATA['N3DCS.LDCDEMD2']<175,降低负荷至,CDATA['N3DCS.LDCDEMD2'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1482,,SCR入口烟气温度,N3DCS.AINFTRIPSTEP8,1,CDATA['N3DCS.31HSA30CT101']>300 and CDATA['N3DCS.32HSA30CT101']>300,SCR温度正常,CDATA['N3DCS.32HSA30CT101'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1483,,B送风机电流<113A,N3DCS.AINFTRIPSTEP9,1,CDATA['N3DCS.3ITAP056AI']<113,B送风机电流,CDATA['N3DCS.3ITAP056AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1484,,B引风机电流<330A,N3DCS.AINFTRIPSTEP10,1,CDATA['N3DCS.3ITAP060AI']<330,B引风机电流,CDATA['N3DCS.3ITAP060AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1485,,B一次风机电流<95A,N3DCS.AINFTRIPSTEP11,1,CDATA['N3DCS.3ITAP050AI']<95,B一次风机电流,CDATA['N3DCS.3ITAP050AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1486,,炉膛负压<0.5kPa,N3DCS.AINFTRIPSTEP12,1,CDATA['N3DCS.3PTBA221S']<0.5 and CDATA['N3DCS.3PTBA221S']>-1.5,炉膛负压,CDATA['N3DCS.3PTBA221S'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1487,,汽包水位<150,N3DCS.AINFTRIPSTEP13,1,CDATA['N3DCS.3LTFW505CAI']<150 and CDATA['N3DCS.3LTFW505CAI']>-200,汽包水位,CDATA['N3DCS.3LTFW505CAI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FDI'] ==1,,,,1
1488,,A送风机入口导叶开度<15,N3DCS.AINFTRIPSTEP14,1,CDATA['N3DCS.3ZTBA021AI']<15,A送风机入口导叶开度,CDATA['N3DCS.3ZTBA021AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FADI'] ==1,,,,1
1489,,A送风机出口挡板关闭,N3DCS.AINFTRIPSTEP15,1,CDATA['N3DCS.3ZCBA039DI']==1,A送风机出口挡板关闭,CDATA['N3DCS.3ZCBA039DI']-1,,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FADI'] ==1,,,,1
1490,,A引风机入口挡板关闭,N3DCS.AINFTRIPSTEP16,1,CDATA['N3DCS.3ZTBA305AI']<15,引风机入口挡板关闭,CDATA['N3DCS.3ZTBA305AI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FADI'] ==1,,,,1
1491,,A引风机出口挡板关闭,N3DCS.AINFTRIPSTEP17,1,CDATA['N3DCS.3ZCBA307DI']==1,A引风机出口挡板关闭,CDATA['N3DCS.3ZCBA307DI']-1,,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FADI'] ==1,,,,1
1492,,RB动作触发,N3DCS.AINFTRIPSTEP18,1,CDATA['N3DCS.3CCSBFPRB']==1,RB动作触发,CDATA['N3DCS.3CCSBFPRB'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==0 and CDATA['N3DCS.3ZABA06FADI'] ==1,,,,1
1493,,B送风机联跳,N3DCS.BINFTRIPSTEP1,1,CDATA['N3DCS.3ZABA02FDI']==0,B送风机联跳,CDATA['N3DCS.3ZABA02FDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==1 and CDATA['N3DCS.3ZABA06FADI'] ==0,,,,1
1494,,点油枪,N3DCS.BINFTRIPSTEP2,1,(CDATA['N3DCS.3ZACH11CPDI']*(CDATA['N3DCS.3BIBY626DI']+CDATA['N3DCS.3BIBY628DI']+CDATA['N3DCS.3BIBY630DI']+CDATA['N3DCS.3BIBY632DI']+ CDATA['N3DCS.3BIBY634DI']+CDATA['N3DCS.3BIBY636DI'])+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'])>=(CDATA['N3DCS.3ZACH11CPDI']+CDATA['N3DCS.3ZACH12CPDI']+CDATA['N3DCS.3ZACH13CPDI']+CDATA['N3DCS.3ZACH14CPDI'])*6,有效火检,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==1 and CDATA['N3DCS.3ZABA06FADI'] ==0,,,,1
1495,,保留斜对角磨煤机,N3DCS.BINFTRIPSTEP3,1,(CDATA['N3DCS.3ZACH11CPDI']==1 and CDATA['N3DCS.3ZACH13CPDI']==1 and CDATA['N3DCS.3ZACH12CPDI']==0 and CDATA['N3DCS.3ZACH14CPDI']==0) or (CDATA['N3DCS.3ZACH11CPDI']==0 and CDATA['N3DCS.3ZACH13CPDI']==0 and CDATA['N3DCS.3ZACH12CPDI']==1 and CDATA['N3DCS.3ZACH14CPDI']==1),磨煤机,CDATA['N3DCS.3ZACH11CPDI']*MID['FLAMEAcount']+CDATA['N3DCS.3ZACH12CPDI']*MID['FLAMEBcount']+CDATA['N3DCS.3ZACH13CPDI']*MID['FLAMECcount']+CDATA['N3DCS.3ZACH14CPDI']*MID['FLAMEDcount'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==1 and CDATA['N3DCS.3ZABA06FADI'] ==0,,,,1
1496,,B一次风机跳闸,N3DCS.BINFTRIPSTEP4,1,CDATA['N3DCS.3ZABA04FDI']==0,停止B一次风机,CDATA['N3DCS.3ZABA04FDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==1 and CDATA['N3DCS.3ZABA06FADI'] ==0,,,,1
1497,,B空预器运行,N3DCS.BINFTRIPSTEP5,1,CDATA['N3DCS.3ZABA08AHDI']==1,确认B空预器运行,CDATA['N3DCS.3ZABA08AHDI'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==1 and CDATA['N3DCS.3ZABA06FADI'] ==0,,,,1
1498,,燃料主控<53,N3DCS.BINFTRIPSTEP6,1,CDATA['N3DCS.3CCSFUELMDMD']<=53,燃料主控,CDATA['N3DCS.3CCSFUELMDMD'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==1 and CDATA['N3DCS.3ZABA06FADI'] ==0,,,,1
1499,,降低负荷,N3DCS.BINFTRIPSTEP7,1,CDATA['N3DCS.LDCDEMD2']<175,降低负荷至,CDATA['N3DCS.LDCDEMD2'],,CDATA['N3DCS.3BR2']==1 and CDATA['N3DCS.3ZABA05FADI'] ==1 and CDATA['N3DCS.3ZABA06FADI'] ==0,,,,1
